L        beta       energy       spec-heat    abs-magnet   suscept
018      0.5055      -0.890370        0.179814             0.926543         0.298501
018      0.3996      -0.561358        0.230290             0.370185         4.570077
018      0.4159      -0.631975        0.360331             0.498457         7.423096
018      0.5085      -0.877346        0.259393             0.914568         0.412044
018      0.4347      -0.687284        0.387292             0.616173         5.992193
018      0.3310      -0.398272        0.097304             0.140494         1.144946
018      0.4838      -0.849259        0.207896             0.890864         0.466596
018      0.4467      -0.739877        0.362683             0.743086         3.355006
018      0.5117      -0.894938        0.131927             0.931111         0.186558
018      0.4362      -0.700741        0.376561             0.649877         4.506711
018      0.4639      -0.794136        0.374313             0.812778         2.581007
018      0.4175      -0.620741        0.356577             0.482716         8.523723
018      0.3758      -0.498642        0.172864             0.238889         3.510087
018      0.5590      -0.935926        0.096146             0.961543         0.082233
018      0.4859      -0.853395        0.231778             0.894136         0.456058
018      0.4482      -0.742284        0.393763             0.721173         6.677406
018      0.4655      -0.800000        0.277795             0.837716         1.149666
018      0.4377      -0.716852        0.444241             0.692284         5.569455
018      0.4016      -0.573827        0.196092             0.365679         6.781354
018      0.3381      -0.420000        0.086861             0.166667         1.386744
018      0.5151      -0.886111        0.139804             0.922840         0.196893
018      0.3787      -0.493889        0.139939             0.247778         3.389299
018      0.4192      -0.638272        0.385168             0.515988         7.782756
018      0.4392      -0.712469        0.433458             0.677099         5.931189
018      0.5698      -0.938086        0.089935             0.962284         0.084265
018      0.4035      -0.567346        0.232611             0.360062         5.696367
018      0.4672      -0.818580        0.232111             0.856667         0.768399
018      0.4880      -0.855123        0.252959             0.896543         0.636476
018      0.5188      -0.897222        0.128640             0.931728         0.221105
018      0.4497      -0.765864        0.352894             0.783210         2.313926
018      0.3442      -0.443395        0.121725             0.167716         1.820773
018      0.4902      -0.855432        0.182713             0.897160         0.350941
018      0.3814      -0.513025        0.189054             0.253704         3.630752
018      0.3495      -0.436852        0.083543             0.181667         1.596617
018      0.4512      -0.749259        0.470236             0.751420         3.433735
018      0.4689      -0.807654        0.319999             0.846481         1.133508
018      0.4208      -0.641296        0.333293             0.528210         7.513658
018      0.4054      -0.590617        0.355825             0.418827         6.592418
018      0.5848      -0.945741        0.098126             0.967840         0.079246
018      0.3543      -0.444938        0.133486             0.158951         1.761943
018      0.4072      -0.589815        0.285055             0.421667         6.716538
018      0.4528      -0.766481        0.315053             0.782037         2.748068
018      0.4706      -0.821358        0.258240             0.862160         0.845006
018      1.0000      -0.999074        0.004832             0.999506         0.001417
018      0.3840      -0.523210        0.234586             0.289321         3.897098
018      0.4224      -0.662531        0.386467             0.573827         6.962436
018      0.4543      -0.755494        0.414793             0.743765         5.102193
018      0.3865      -0.528272        0.242317             0.293765         4.791004
018      0.4239      -0.637346        0.337290             0.484938         9.124390
019      0.4255      -0.643324        0.531822             0.509252         8.828935
019      0.4724      -0.821717        0.274102             0.845319         1.673650
019      0.4407      -0.724709        0.460179             0.690471         6.453261
019      0.0000      -0.058172        0.000000             0.036011         0.000000
019      0.4559      -0.776787        0.387128             0.803213         2.117831
019      0.4925      -0.862050        0.259266             0.903546         0.464167
019      0.4090      -0.587147        0.300417             0.403380         6.943520
019      0.3888      -0.517562        0.189554             0.245042         3.898779
019      0.5228      -0.903102        0.149223             0.937950         0.166513
019      0.4271      -0.670859        0.412633             0.585596         7.682623
019      0.3586      -0.470194        0.127294             0.214737         2.828173
019      0.4742      -0.819280        0.330069             0.860332         0.888461
019      0.4107      -0.594460        0.262624             0.379778         6.822565
019      0.4949      -0.857175        0.208323             0.896953         0.532758
019      0.4422      -0.742216        0.387233             0.745596         3.000965
019      0.4574      -0.782548        0.290173             0.805485         1.965416
019      0.3911      -0.542050        0.280474             0.290582         5.560275
019      0.2719      -0.306537        0.042055             0.099612         0.533279
019      0.5271      -0.905983        0.157918             0.935568         0.363701
019      0.3626      -0.471524        0.153258             0.185485         2.341852
019      0.3662      -0.470083        0.184423             0.223989         3.452814
019      0.4974      -0.873961        0.165989             0.911302         0.321599
019      0.4760      -0.819446        0.290595             0.860554         0.915529
019      0.4590      -0.777895        0.350460             0.786371         4.094579
019      0.4125      -0.600166        0.336448             0.427091         7.509937
019      0.4286      -0.665097        0.411886             0.597452         6.338024
019      0.2965      -0.354017        0.051690             0.115845         0.701894
019      0.4437      -0.731579        0.429516             0.697230         6.742311
019      0.3933      -0.551191        0.273796             0.335512         6.747684
019      0.4779      -0.840942        0.207473             0.886094         0.513942
019      0.5318      -0.906482        0.180599             0.938227         0.265530
019      0.3696      -0.484266        0.183028             0.204044         3.028825
019      0.4142      -0.613629        0.348243             0.463490         7.932478
019      0.4606      -0.797175        0.361346             0.820554         1.726771
019      0.3115      -0.375235        0.079615             0.131080         1.104143
019      0.4798      -0.833573        0.196497             0.875956         0.759770
019      0.4301      -0.667091        0.479473             0.609197         6.731191
019      0.5000      -0.873850        0.162933             0.914681         0.306203
019      0.4452      -0.750471        0.397404             0.751801         4.087529
019      0.4159      -0.627091        0.360715             0.499668         7.742244
019      0.3955      -0.551357        0.273968             0.340554         6.207472
019      0.5372      -0.908033        0.139012             0.941108         0.155921
019      0.3728      -0.480776        0.179387             0.204598         2.286097
019      0.4467      -0.748643        0.429829             0.723712         6.974786
019      0.4622      -0.805762        0.302474             0.841828         1.524804
019      0.4818      -0.848753        0.226148             0.886482         0.609594
019      0.4317      -0.682992        0.550547             0.574626        11.559728
019      0.5027      -0.877285        0.251048             0.914626         0.383150
019      0.5433      -0.914017        0.185162             0.945208         0.228497
019      0.4639      -0.799889        0.173830             0.837784         0.829617
019      0.4175      -0.618172        0.357739             0.465485         7.691829
019      0.4838      -0.850748        0.258926             0.890582         0.598168
019      0.3224      -0.388255        0.092745             0.117175         1.024226
019      0.5504      -0.930249        0.120236             0.957341         0.183882
019      0.3758      -0.513906        0.190089             0.261219         3.778776
