Student_NIP;Detection_shape;Questions_asked;Distance;Professors_left;Simulation_duration;Current_stress
931490;CIRCLE;1;11924.06;9;100;100.00%
931490;CONE;6;45634.72;4;353;100.00%
931740;CIRCLE;2;9711.19;8;100;100.00%
931740;CONE;3;45370.75;7;353;99.99%
931842;CIRCLE;2;7428.71;8;100;100.00%
931842;CONE;5;62639.36;5;487;99.99%
931952;CIRCLE;2;10958.01;8;100;100.00%
931952;CONE;2;19278.76;8;147;100.00%
931959;CIRCLE;0;13386.00;10;100;100.00%
931959;CONE;4;62875.43;6;484;100.00%
931995;CIRCLE;1;12295.27;9;100;100.00%
931995;CONE;6;32378.54;4;242;100.00%
933017;CIRCLE;2;10505.49;8;100;100.00%
933017;CONE;3;26425.63;7;209;99.99%
933059;CIRCLE;2;11305.45;8;100;100.00%
933059;CONE;1;17311.92;9;127;99.99%
934549;CIRCLE;1;12813.12;9;100;100.00%
934549;CONE;5;28371.57;5;214;100.00%
934652;CIRCLE;4;12394.28;6;100;100.00%
934652;CONE;2;17706.42;8;138;100.00%
935092;CIRCLE;3;10496.83;7;100;100.00%
935092;CONE;2;22536.37;8;180;99.99%
935101;CIRCLE;3;12209.24;7;100;100.00%
935101;CONE;4;24628.38;6;185;100.00%
935151;CIRCLE;2;11550.28;8;100;100.00%
935151;CONE;0;15675.89;10;116;100.00%
935529;CIRCLE;4;10663.53;6;100;100.00%
935529;CONE;5;42403.64;5;335;100.00%
935713;CIRCLE;1;4090.21;9;68;99.99%
935713;CONE;2;28461.61;8;215;100.00%
936351;CIRCLE;1;11615.91;9;100;100.00%
936351;CONE;4;45594.93;6;357;100.00%
937959;CIRCLE;2;11645.93;8;100;100.00%
937959;CONE;5;44847.97;5;347;100.00%
938852;CIRCLE;2;9674.82;8;100;100.00%
938852;CONE;2;24608.58;8;184;99.99%
938880;CIRCLE;3;7089.04;7;91;99.99%
938880;CONE;2;19176.25;8;143;99.99%
939044;CIRCLE;3;8914.50;7;100;100.00%
939044;CONE;4;31002.48;6;243;100.00%
939316;CIRCLE;1;8296.76;9;100;100.00%
939316;CONE;2;22382.12;8;167;100.00%
939348;CIRCLE;3;10575.90;7;100;100.00%
939348;CONE;4;23969.62;6;179;100.00%
939459;CIRCLE;3;12682.20;7;100;100.00%
939459;CONE;2;22588.02;8;169;99.99%
939540;CIRCLE;1;13419.29;9;100;100.00%
939540;CONE;3;34312.20;7;257;99.99%
943559;CIRCLE;1;12618.52;9;100;100.00%
943559;CONE;4;34354.99;6;266;100.00%
980698;CIRCLE;3;11690.07;7;100;100.00%
980698;CONE;6;29738.04;4;232;100.00%
